ncl,cltype,LCO,LCOerr,L13CO,L13COerr,LHCO,LHCOerr,LHCN,LHCNerr,LCS,LCSerr,vel_dispCO,vel_dispCOerr,vel_disp13CO,vel_disp13COerr,vel_dispHCO,vel_dispHCOerr,vel_dispHCN,vel_dispHCNerr,vel_dispCS,vel_dispCSerr,maj,min,R,Rerr,area,perim,HCO_R,SFR_SD
1,2,6.357e+04,6706,nan,nan,1837,208,1020,141.9,nan,nan,15.93,0.6218,nan,nan,15.71,0.7737,14.14,0.7715,nan,nan,22.82,12.88,17.25,15.1,2513,253.1,nan,13.31
2,2,2.584e+04,2924,319.6,165.4,714.7,94.99,355.8,70.07,319.6,165.4,10.72,0.4251,3.123,0.259,9.068,0.3844,8.558,0.2643,3.123,0.259,16.21,10.45,nan,18.57,1352,192,nan,5.175
3,2,3.282e+04,3640,454.6,178,1084,130.1,463.3,86.45,454.6,178,12.06,0.4822,12.14,0.8369,10.97,0.4073,12.2,0.6964,12.14,0.8369,11.08,15.69,nan,23.38,1485,209.4,nan,7.624
4,2,1.172e+05,1.211e+04,1674,399.3,2723,305.8,904.3,142.4,1674,399.3,18.63,0.727,16.7,1.66,18.33,0.8451,11.11,0.7939,16.7,1.66,26.87,28.28,39.1,8.379,4112,305.4,nan,6.631
5,2,3.698e+04,4102,658.5,246.7,1057,133.3,385.9,84.15,658.5,246.7,12.23,0.5215,5.4,0.4532,11.51,0.4606,9.204,0.5283,5.4,0.4532,12.52,30.78,23.22,26.19,3484,357.8,nan,3.038
6,2,6.092e+04,6485,424.2,180.3,1450,177,598.3,112.2,424.2,180.3,16.18,0.6669,3.241,0.5771,15.19,0.6224,12.04,0.7568,3.241,0.5771,22.3,13.33,17.51,12.11,4227,418.9,nan,9.185
7,2,4.647e+04,5039,284.8,163.9,1812,201.9,874.4,124.7,284.8,163.9,12.45,0.5552,1.632,2.569,10.73,0.4167,11.56,0.6674,1.632,2.569,28.27,16.83,27.89,14.69,2932,305.4,nan,14.45
8,2,4.81e+04,5199,242.4,77.93,1448,170.6,515.2,104.2,242.4,77.93,13.44,0.5442,1.862,0.561,13.32,0.5988,14.34,0.9324,1.862,0.561,18.18,25.93,27.69,8.448,3237,357.8,nan,7.549
9,2,2.923e+04,3304,958.7,287.1,733.8,101.6,556.5,90.49,958.7,287.1,5.494,0.2215,3.962,0.03246,4.457,0.07653,5.086,0.1963,3.962,0.03246,36.39,14.86,30.82,25.24,2475,322.9,nan,3.765
10,2,3.046e+04,3472,nan,nan,288.4,73.13,150.4,53.27,nan,nan,14.19,0.7058,nan,nan,6.354,0.5307,1.983,0.7416,nan,nan,18.06,30.37,31.15,11.78,2837,331.6,nan,1.233
